Date,TotalPrice
2009-12-06,257747.44
2009-12-13,231195.04
2009-12-20,254975.12
2009-12-27,52730.9
2010-01-03,0.0
2010-01-10,166102.06000000003
2010-01-17,156586.76
2010-01-24,148282.111
2010-01-31,151508.571
2010-02-07,121281.362
2010-02-14,88440.48999999999
2010-02-21,164768.342
2010-02-28,156775.172
2010-03-07,163504.75
2010-03-14,137988.93
2010-03-21,165156.331
2010-03-28,170671.86
2010-04-04,156117.76
2010-04-11,136884.23
2010-04-18,137744.711
2010-04-25,163780.27000000002
2010-05-02,131333.31100000002
2010-05-09,158167.99
2010-05-16,148563.47
2010-05-23,143827.29
2010-05-30,150703.75
2010-06-06,104990.71
2010-06-13,203867.32
2010-06-20,133620.49
2010-06-27,123693.38999999998
2010-07-04,167678.16
2010-07-11,145721.59
2010-07-18,148216.88
2010-07-25,100472.39
2010-08-01,152484.79
2010-08-08,126500.98000000001
2010-08-15,172053.95
2010-08-22,167934.13
2010-08-29,124395.65999999999
2010-09-05,139746.04
2010-09-12,129216.39
2010-09-19,163338.721
2010-09-26,237516.02000000002
2010-10-03,290752.14
2010-10-10,256957.63
2010-10-17,308159.68
2010-10-24,194827.85
2010-10-31,205828.61000000002
2010-11-07,278048.06
2010-11-14,361375.051
2010-11-21,350386.321
2010-11-28,292608.20999999996
2010-12-05,315368.45
2010-12-12,269518.44
2010-12-19,206397.01
2010-12-26,89719.26999999999
2011-01-02,0.0
2011-01-09,93493.71
2011-01-16,190624.87
2011-01-23,133476.74
2011-01-30,118500.24
2011-02-06,123498.86
2011-02-13,102124.3
2011-02-20,139309.83000000002
2011-02-27,132773.08000000002
2011-03-06,130221.56
2011-03-13,129036.89
2011-03-20,144653.61000000002
2011-03-27,147687.39
2011-04-03,183209.91
2011-04-10,121325.78
2011-04-17,147246.341
2011-04-24,115340.63
2011-05-01,84282.16
2011-05-08,130119.25
2011-05-15,205169.3
2011-05-22,197580.4
2011-05-29,160369.53
2011-06-05,116600.99
2011-06-12,177618.91
2011-06-19,183762.13999999998
2011-06-26,116889.81
2011-07-03,136058.34
2011-07-10,174493.0
2011-07-17,123932.01000000001
2011-07-24,182280.54
2011-07-31,180404.99099999998
2011-08-07,152936.96
2011-08-14,161305.29
2011-08-21,170278.6
2011-08-28,149148.2
2011-09-04,143591.45
2011-09-11,189721.87
2011-09-18,211273.52
2011-09-25,325679.011
2011-10-02,206568.851
2011-10-09,301565.42000000004
2011-10-16,207345.61000000002
2011-10-23,263103.75
2011-10-30,237399.09
2011-11-06,287017.92000000004
2011-11-13,345524.69
2011-11-20,378849.78
2011-11-27,306886.92
2011-12-04,318902.86
2011-12-11,300098.44
